index,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Departure Delay in Minutes,Arrival Delay in Minutes,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,satisfaction
194,108006,Female,Loyal Customer,38,Personal Travel,Eco,271,0,0,4,0,5,3,2,5,2,2,4,2,4,3,5,2,satisfied
195,19578,Male,Loyal Customer,45,Personal Travel,Eco,173,0,0,2,5,0,1,2,0,5,2,5,5,4,4,4,2,neutral or dissatisfied
196,59508,Male,Loyal Customer,43,Business travel,Business,1950,0,0,3,3,3,3,4,5,4,4,4,4,4,3,4,5,satisfied
197,56446,Female,Loyal Customer,52,Personal Travel,Eco,719,0,17,1,5,2,2,3,5,5,3,3,2,3,3,3,3,neutral or dissatisfied
198,48800,Female,Loyal Customer,57,Business travel,Business,153,0,0,3,4,4,4,5,3,4,2,2,2,3,4,2,2,neutral or dissatisfied
199,129592,Female,Loyal Customer,13,Personal Travel,Business,337,0,18,2,3,2,3,1,2,1,1,4,5,2,5,5,1,neutral or dissatisfied
200,114039,Female,Loyal Customer,45,Business travel,Business,3732,17,0,5,5,5,5,5,5,5,5,5,5,5,3,5,4,satisfied
201,66800,Female,Loyal Customer,43,Business travel,Business,3854,0,0,5,5,5,5,5,4,4,5,5,5,5,5,5,3,satisfied
202,106799,Male,Loyal Customer,53,Business travel,Eco,977,20,17,2,4,2,4,2,2,2,2,3,2,3,2,3,2,neutral or dissatisfied
203,47057,Male,Loyal Customer,23,Business travel,Business,3073,0,3,4,4,1,4,5,5,5,5,1,3,1,3,3,5,satisfied
204,61824,Female,Loyal Customer,16,Personal Travel,Eco,1379,2,0,2,5,2,2,2,2,2,2,5,2,4,3,5,2,neutral or dissatisfied
205,68207,Male,Loyal Customer,23,Business travel,Eco,631,0,8,2,2,2,2,2,1,1,2,3,5,4,3,4,2,neutral or dissatisfied
206,125512,Male,Loyal Customer,45,Personal Travel,Eco,666,0,0,2,5,2,4,4,2,4,4,4,5,5,4,5,4,neutral or dissatisfied
207,93019,Female,Loyal Customer,46,Business travel,Business,2820,1,0,2,2,2,2,2,1,2,5,5,5,5,2,5,3,satisfied
208,87296,Female,Loyal Customer,49,Personal Travel,Eco,577,23,2,2,5,2,2,3,4,5,1,1,2,1,4,1,3,neutral or dissatisfied
209,76748,Female,Loyal Customer,40,Business travel,Business,2808,7,2,4,3,3,3,3,3,4,3,3,3,4,4,3,3,neutral or dissatisfied
210,85879,Female,Loyal Customer,19,Business travel,Business,2172,0,0,5,5,5,5,4,4,4,4,4,4,4,4,4,4,satisfied
211,63961,Female,Loyal Customer,48,Personal Travel,Eco,1192,0,0,4,2,4,3,4,3,3,1,1,4,2,3,1,1,neutral or dissatisfied
212,94760,Female,Loyal Customer,64,Business travel,Business,1773,0,0,2,4,3,4,5,3,3,2,2,3,2,4,2,4,neutral or dissatisfied
213,49608,Female,Loyal Customer,38,Business travel,Eco,109,31,,5,3,3,3,5,5,5,5,5,2,4,1,1,5,satisfied
214,80520,Male,Loyal Customer,23,Personal Travel,Eco,1749,97,89,2,1,1,4,3,1,3,3,1,1,4,2,3,3,neutral or dissatisfied
215,23328,Female,Loyal Customer,38,Business travel,Business,3753,0,0,2,2,2,2,1,1,5,4,4,4,4,4,4,1,satisfied
216,13560,Male,Loyal Customer,41,Personal Travel,Eco,214,16,34,1,4,1,2,2,1,1,2,4,3,5,4,5,2,neutral or dissatisfied
217,119121,Male,Loyal Customer,29,Personal Travel,Eco,1020,0,0,1,4,1,4,1,1,1,1,3,3,3,4,3,1,neutral or dissatisfied
218,42917,Male,Loyal Customer,47,Business travel,Eco Plus,368,0,0,5,1,2,1,4,5,4,4,5,5,2,4,3,4,satisfied
219,52954,Male,Loyal Customer,50,Personal Travel,Eco Plus,1448,20,4,2,3,2,5,4,2,4,4,4,3,4,3,1,4,neutral or dissatisfied
220,83112,Female,Loyal Customer,18,Personal Travel,Eco,1127,0,0,2,5,2,3,3,2,3,3,4,4,4,3,5,3,neutral or dissatisfied
221,88574,Female,Loyal Customer,20,Personal Travel,Eco,545,4,0,2,0,2,3,5,2,1,5,3,4,3,3,1,5,neutral or dissatisfied
222,111570,Female,Loyal Customer,41,Business travel,Business,3238,0,0,2,2,2,2,5,4,5,4,4,4,4,3,4,4,satisfied
223,28662,Female,Loyal Customer,12,Personal Travel,Eco,2466,0,0,2,4,2,3,1,2,1,1,4,4,5,4,4,1,neutral or dissatisfied
224,27177,Female,Loyal Customer,36,Personal Travel,Eco,2715,0,0,2,3,2,3,2,3,2,4,5,3,3,2,3,2,neutral or dissatisfied
225,129585,Male,Loyal Customer,49,Business travel,Business,337,10,0,3,4,3,3,4,5,5,4,4,4,4,5,4,3,satisfied
226,35759,Female,Loyal Customer,55,Personal Travel,Eco,1608,0,0,2,2,2,4,2,3,4,5,5,2,5,3,5,2,neutral or dissatisfied
227,49475,Female,Loyal Customer,43,Business travel,Business,3004,0,0,3,3,3,3,2,4,3,2,2,2,3,1,2,2,neutral or dissatisfied
228,78904,Female,disloyal Customer,49,Business travel,Business,980,11,6,2,2,2,2,3,2,3,3,3,5,5,4,4,3,neutral or dissatisfied
229,29619,Female,disloyal Customer,35,Business travel,Eco,1462,0,0,1,1,1,1,3,1,3,3,1,5,1,3,2,3,neutral or dissatisfied
230,77512,Male,Loyal Customer,45,Business travel,Business,1521,0,0,1,1,3,1,3,5,4,5,5,5,5,4,5,4,satisfied
231,31631,Female,Loyal Customer,28,Business travel,Business,862,9,5,5,5,5,5,5,5,5,5,2,3,1,1,2,5,satisfied
232,38913,Male,Loyal Customer,60,Business travel,Business,1833,0,0,4,4,4,4,1,4,5,4,4,4,4,1,4,2,satisfied
233,35366,Male,Loyal Customer,35,Business travel,Business,2398,0,9,2,4,2,4,1,3,2,2,2,2,2,4,2,3,neutral or dissatisfied
234,111817,Female,disloyal Customer,38,Business travel,Business,349,29,28,3,3,3,5,4,3,4,4,5,4,4,5,5,4,neutral or dissatisfied
235,12259,Male,Loyal Customer,48,Business travel,Business,1722,0,0,4,5,4,4,4,2,3,4,4,4,4,2,4,1,satisfied
236,19790,Female,Loyal Customer,65,Personal Travel,Eco,578,99,101,2,4,3,4,2,4,4,3,3,3,3,4,3,3,neutral or dissatisfied
237,33260,Male,Loyal Customer,30,Personal Travel,Eco Plus,163,9,11,3,5,3,2,1,3,1,1,4,2,4,5,5,1,neutral or dissatisfied
238,107079,Female,Loyal Customer,51,Personal Travel,Eco,395,0,0,2,4,5,1,2,4,5,3,3,5,3,1,3,1,neutral or dissatisfied
239,15174,Male,disloyal Customer,23,Business travel,Eco,416,18,4,5,0,5,2,4,5,4,4,3,5,5,3,2,4,satisfied
240,23620,Female,Loyal Customer,37,Business travel,Eco,977,0,0,3,4,4,4,3,3,3,3,2,2,3,3,3,3,neutral or dissatisfied
241,18128,Male,Loyal Customer,23,Business travel,Business,3095,9,0,5,5,5,5,5,5,3,5,2,5,4,3,3,5,satisfied
242,105291,Male,Loyal Customer,32,Business travel,Business,738,0,3,4,4,4,4,4,4,4,4,4,2,4,3,3,4,neutral or dissatisfied
243,56451,Male,Loyal Customer,67,Personal Travel,Eco,719,24,14,3,3,3,4,1,3,1,1,2,2,3,1,5,1,neutral or dissatisfied
244,102068,Male,Loyal Customer,65,Personal Travel,Business,226,37,20,1,4,1,1,5,5,4,4,4,1,4,5,4,3,neutral or dissatisfied
245,57995,Female,Loyal Customer,48,Business travel,Business,1943,0,0,1,1,1,1,3,5,5,5,5,5,5,4,5,5,satisfied
246,146,Male,Loyal Customer,60,Business travel,Business,2371,66,61,4,4,4,4,2,4,5,4,4,4,4,3,4,3,satisfied
247,18770,Female,Loyal Customer,31,Business travel,Business,551,53,48,3,1,1,1,3,3,3,3,3,4,3,4,4,3,neutral or dissatisfied
248,42774,Male,Loyal Customer,22,Business travel,Eco Plus,493,19,6,4,1,5,5,4,4,4,4,2,4,2,3,4,4,satisfied
249,13776,Male,disloyal Customer,27,Business travel,Eco,925,4,3,2,2,2,5,5,2,5,5,2,5,5,1,4,5,neutral or dissatisfied
250,103702,Female,Loyal Customer,19,Personal Travel,Eco,405,0,0,2,2,2,4,1,2,1,1,3,2,4,4,3,1,neutral or dissatisfied
251,69826,Female,disloyal Customer,26,Business travel,Eco,1055,0,0,3,3,3,4,4,3,4,4,3,5,4,2,4,4,neutral or dissatisfied
252,57906,Male,Loyal Customer,72,Business travel,Eco,305,0,0,4,3,3,3,4,4,4,4,2,3,3,1,3,4,neutral or dissatisfied
253,31358,Female,Loyal Customer,34,Business travel,Business,589,0,11,5,5,5,5,1,1,5,5,5,5,5,5,5,5,satisfied
254,92805,Female,Loyal Customer,45,Business travel,Business,1587,0,0,2,2,2,2,4,4,4,4,4,4,4,4,4,3,satisfied
255,104375,Male,Loyal Customer,51,Business travel,Business,3090,0,0,2,4,4,4,3,3,4,2,2,2,2,4,2,1,neutral or dissatisfied
256,109896,Female,disloyal Customer,26,Business travel,Eco,804,7,0,2,2,2,3,4,2,3,4,1,4,4,1,4,4,neutral or dissatisfied
257,102955,Female,Loyal Customer,12,Personal Travel,Eco,719,0,0,3,4,3,3,1,3,1,1,5,2,4,4,4,1,neutral or dissatisfied
258,44736,Female,Loyal Customer,72,Business travel,Eco Plus,67,28,18,2,5,3,5,2,3,4,3,3,2,3,4,3,3,neutral or dissatisfied
259,28135,Male,Loyal Customer,45,Business travel,Eco,550,0,0,4,2,4,4,4,4,4,4,4,4,3,5,5,4,satisfied
260,55871,Female,Loyal Customer,22,Business travel,Business,2809,36,28,2,2,2,2,5,5,5,5,3,4,4,5,4,5,satisfied
261,8818,Female,Loyal Customer,53,Personal Travel,Eco,552,0,0,4,4,4,1,4,5,4,5,5,4,5,4,5,5,neutral or dissatisfied
262,86148,Female,disloyal Customer,33,Business travel,Business,356,12,0,3,3,3,4,4,3,4,4,4,5,5,5,5,4,neutral or dissatisfied
263,120162,Female,Loyal Customer,46,Personal Travel,Business,119,13,32,4,0,4,1,5,5,4,4,4,4,4,3,4,3,neutral or dissatisfied
264,117547,Male,Loyal Customer,54,Business travel,Business,1545,1,0,2,2,2,2,5,5,5,5,5,5,5,4,5,4,satisfied
265,112385,Female,Loyal Customer,40,Business travel,Eco,819,23,6,4,2,3,3,4,4,4,4,1,2,3,1,3,4,neutral or dissatisfied
266,19908,Female,Loyal Customer,37,Business travel,Business,1801,0,0,2,4,3,3,4,4,3,2,2,2,2,1,2,4,neutral or dissatisfied
267,45098,Female,Loyal Customer,35,Business travel,Business,1658,6,6,2,2,5,2,1,2,1,5,5,5,3,3,5,3,satisfied
268,43810,Female,disloyal Customer,26,Business travel,Business,114,0,13,4,0,5,3,4,5,4,4,4,2,5,4,4,4,satisfied
269,22981,Female,Loyal Customer,62,Business travel,Eco,128,0,16,4,3,3,3,2,5,1,5,5,4,5,3,5,1,satisfied
270,68134,Male,Loyal Customer,58,Business travel,Business,813,0,0,1,1,1,1,5,5,5,3,3,3,3,5,3,3,satisfied
271,23518,Female,Loyal Customer,55,Personal Travel,Eco,349,0,0,2,3,2,3,2,3,5,2,2,2,2,5,2,3,neutral or dissatisfied
272,109188,Female,Loyal Customer,60,Business travel,Business,1508,15,15,3,1,1,1,2,2,2,3,3,3,3,2,3,2,neutral or dissatisfied
273,1150,Female,Loyal Customer,15,Personal Travel,Eco,89,0,0,3,5,3,4,5,3,1,5,5,5,4,3,5,5,neutral or dissatisfied
274,44586,Male,Loyal Customer,67,Personal Travel,Eco,157,45,33,4,1,4,3,5,4,5,5,4,5,3,4,3,5,neutral or dissatisfied
275,84299,Male,Loyal Customer,43,Business travel,Business,2828,39,41,0,1,1,2,5,5,4,3,3,3,3,5,3,5,satisfied
276,103793,Male,Loyal Customer,30,Business travel,Business,3131,7,0,1,1,1,1,5,4,5,5,5,5,4,5,5,5,satisfied
277,35032,Female,Loyal Customer,42,Business travel,Eco,718,0,0,5,1,4,1,3,3,3,5,5,5,5,3,5,1,satisfied
278,103291,Male,Loyal Customer,40,Business travel,Business,1959,209,191,3,3,3,3,4,4,4,4,3,5,5,4,5,4,satisfied
279,93909,Male,Loyal Customer,47,Business travel,Business,3496,0,2,2,2,2,2,2,4,5,5,5,5,5,4,5,4,satisfied
280,127925,Male,Loyal Customer,38,Business travel,Business,2300,60,37,4,2,2,2,4,4,3,4,4,4,4,3,4,2,neutral or dissatisfied
281,128097,Female,Loyal Customer,25,Personal Travel,Eco,2845,0,1,3,0,3,5,3,3,3,1,1,3,2,3,3,3,neutral or dissatisfied
282,26149,Male,disloyal Customer,26,Business travel,Eco,406,149,138,3,5,3,4,3,3,3,5,5,4,1,3,4,3,neutral or dissatisfied
283,95886,Male,Loyal Customer,66,Personal Travel,Eco,580,26,13,2,4,2,3,4,2,4,4,5,3,5,3,4,4,neutral or dissatisfied
284,125425,Female,Loyal Customer,69,Business travel,Eco,735,12,4,1,4,4,4,3,3,4,1,1,1,1,4,1,2,neutral or dissatisfied
285,120078,Female,Loyal Customer,22,Business travel,Business,1722,0,53,2,5,5,5,2,2,2,2,2,4,3,3,3,2,neutral or dissatisfied
286,60625,Male,Loyal Customer,8,Personal Travel,Eco Plus,1201,24,14,2,5,2,3,3,2,3,3,4,2,1,5,5,3,neutral or dissatisfied
287,115031,Female,disloyal Customer,37,Business travel,Business,372,11,0,5,5,5,4,4,5,4,4,4,4,5,3,4,4,satisfied
288,37077,Female,Loyal Customer,69,Personal Travel,Eco,1072,18,7,1,5,1,5,4,4,4,1,1,1,1,4,1,4,neutral or dissatisfied
289,69252,Male,Loyal Customer,28,Business travel,Eco,733,15,22,4,2,2,2,4,4,4,4,3,4,3,3,4,4,neutral or dissatisfied
290,12194,Male,Loyal Customer,51,Business travel,Eco Plus,1075,5,0,2,4,1,4,2,2,2,2,1,2,4,4,3,2,neutral or dissatisfied
291,80188,Female,Loyal Customer,46,Personal Travel,Eco,2586,59,57,3,1,3,3,3,4,4,2,4,4,3,4,1,4,neutral or dissatisfied
292,10430,Male,disloyal Customer,39,Business travel,Business,140,0,7,4,4,4,3,4,4,2,4,3,4,4,4,4,4,satisfied
293,21262,Female,disloyal Customer,21,Business travel,Eco Plus,903,35,28,4,3,4,4,1,4,1,1,4,5,3,1,4,1,neutral or dissatisfied
294,55236,Male,Loyal Customer,46,Business travel,Business,2423,1,0,4,4,4,4,2,4,4,4,4,4,4,5,4,5,satisfied
295,126917,Female,Loyal Customer,36,Business travel,Business,3130,62,65,2,2,2,2,5,5,5,5,5,5,5,5,5,3,satisfied
296,112190,Male,Loyal Customer,60,Business travel,Business,2198,23,4,3,3,3,3,3,4,4,4,4,4,4,3,4,3,satisfied
297,16342,Male,Loyal Customer,23,Business travel,Eco Plus,602,21,44,2,5,5,5,2,2,1,2,3,4,4,4,4,2,neutral or dissatisfied
298,2201,Male,Loyal Customer,52,Personal Travel,Eco,685,0,0,4,4,4,5,4,4,4,4,3,4,5,5,4,4,satisfied
299,53687,Male,Loyal Customer,36,Business travel,Eco,1208,3,0,4,5,5,5,4,4,4,4,2,1,2,2,3,4,satisfied
300,47168,Male,Loyal Customer,41,Business travel,Business,2789,10,0,3,3,2,3,4,3,3,4,4,3,4,3,4,5,satisfied
301,8782,Male,Loyal Customer,45,Business travel,Business,3305,8,0,2,2,2,2,3,5,5,4,4,4,4,4,4,3,satisfied
302,75468,Male,Loyal Customer,67,Personal Travel,Eco,2342,0,0,3,4,3,3,5,3,2,5,4,2,3,1,4,5,neutral or dissatisfied
303,663,Female,Loyal Customer,45,Business travel,Business,3712,0,0,4,4,4,4,3,5,5,4,4,4,4,5,4,5,satisfied
304,74740,Female,Loyal Customer,56,Personal Travel,Eco,1431,91,76,3,5,3,3,4,5,5,1,1,3,1,2,1,5,neutral or dissatisfied
305,117904,Female,disloyal Customer,62,Business travel,Eco,255,113,107,3,3,2,2,2,2,2,2,1,5,3,1,3,2,neutral or dissatisfied
306,59599,Female,Loyal Customer,30,Business travel,Business,3720,27,12,2,1,1,1,2,3,2,2,2,4,3,3,4,2,neutral or dissatisfied
307,29479,Male,Loyal Customer,48,Business travel,Eco,1107,0,0,4,5,5,5,4,4,4,4,3,5,4,1,2,4,satisfied
308,105096,Female,Loyal Customer,32,Business travel,Business,2999,28,11,2,2,2,2,4,4,4,4,3,4,5,3,4,4,satisfied
309,94421,Female,Loyal Customer,30,Business travel,Business,2438,38,28,0,1,1,1,2,2,2,2,5,3,5,3,4,2,satisfied
310,49058,Female,disloyal Customer,40,Business travel,Business,156,0,0,1,1,1,5,4,1,2,4,2,4,5,5,2,4,neutral or dissatisfied
311,47795,Male,Loyal Customer,42,Business travel,Business,3665,83,92,5,5,5,5,5,5,4,4,4,4,4,4,4,3,satisfied
312,125451,Female,Loyal Customer,52,Business travel,Business,2917,15,32,5,5,5,5,5,5,5,3,4,4,4,5,3,5,satisfied
313,96114,Male,Loyal Customer,50,Business travel,Business,1235,0,0,5,5,5,5,3,4,4,5,5,5,5,4,5,3,satisfied
314,23241,Female,Loyal Customer,18,Personal Travel,Eco Plus,549,0,0,2,5,2,3,2,2,2,2,5,5,4,5,4,2,neutral or dissatisfied
315,106258,Male,Loyal Customer,30,Business travel,Business,1500,0,0,3,3,3,3,5,4,5,5,4,3,4,3,5,5,satisfied
316,64874,Female,disloyal Customer,26,Business travel,Eco,190,0,0,3,2,3,3,1,3,1,1,4,5,4,3,3,1,neutral or dissatisfied
317,100136,Male,disloyal Customer,37,Business travel,Business,468,0,0,4,4,4,4,4,4,4,4,4,4,4,4,5,4,satisfied
318,51774,Male,Loyal Customer,64,Personal Travel,Eco,261,0,0,1,4,0,3,1,0,1,1,3,1,3,3,4,1,neutral or dissatisfied
319,124301,Male,disloyal Customer,21,Business travel,Business,255,0,0,5,0,5,1,2,5,2,2,5,4,5,3,4,2,satisfied
320,36127,Female,Loyal Customer,52,Business travel,Business,1609,0,8,3,2,4,4,3,4,4,3,3,3,3,1,3,3,neutral or dissatisfied
321,121855,Female,Loyal Customer,52,Business travel,Business,413,4,2,5,5,5,5,5,5,4,5,5,5,5,4,5,3,satisfied
322,52648,Female,Loyal Customer,29,Personal Travel,Eco,119,0,0,2,2,2,2,5,2,2,5,4,5,3,2,3,5,neutral or dissatisfied
323,38803,Female,Loyal Customer,13,Personal Travel,Eco,387,16,12,2,1,2,3,1,2,1,1,4,1,3,1,4,1,neutral or dissatisfied
324,39916,Male,Loyal Customer,28,Business travel,Business,1087,0,0,1,1,3,1,5,5,5,5,3,2,4,5,5,5,satisfied
325,95301,Male,Loyal Customer,13,Personal Travel,Eco,323,15,7,2,4,2,3,2,2,2,2,1,5,4,4,4,2,neutral or dissatisfied
326,16505,Male,Loyal Customer,16,Personal Travel,Eco,282,8,16,2,5,2,3,5,2,5,5,3,3,5,5,4,5,neutral or dissatisfied
327,63771,Male,Loyal Customer,58,Business travel,Business,1721,18,0,3,3,3,3,3,4,5,4,4,4,4,4,4,5,satisfied
328,51960,Male,disloyal Customer,24,Business travel,Eco,347,0,0,3,0,3,1,5,3,5,5,3,5,4,5,3,5,neutral or dissatisfied
329,111305,Male,Loyal Customer,25,Business travel,Business,3465,0,0,2,4,4,4,2,2,2,2,4,5,3,4,3,2,neutral or dissatisfied
330,114340,Male,Loyal Customer,34,Personal Travel,Eco,948,0,0,2,4,2,2,4,2,4,4,4,3,4,3,5,4,neutral or dissatisfied
331,17379,Female,Loyal Customer,44,Business travel,Business,1707,0,0,5,5,5,5,5,5,3,5,5,5,5,2,5,3,satisfied
332,65992,Female,Loyal Customer,23,Personal Travel,Eco Plus,1372,0,0,3,5,3,1,1,3,1,1,3,2,3,4,5,1,neutral or dissatisfied
333,104578,Male,disloyal Customer,20,Business travel,Business,369,0,0,5,3,5,4,1,5,1,1,5,2,4,4,4,1,satisfied
334,7443,Male,Loyal Customer,8,Personal Travel,Eco,552,0,11,4,3,4,1,3,4,3,3,3,2,2,3,5,3,neutral or dissatisfied
335,67768,Female,Loyal Customer,26,Business travel,Eco,1188,0,13,1,5,5,5,1,1,4,1,2,3,4,3,3,1,neutral or dissatisfied
336,89581,Male,Loyal Customer,43,Business travel,Eco,1005,0,1,4,4,4,4,5,4,5,5,4,1,4,3,3,5,neutral or dissatisfied
337,47417,Female,Loyal Customer,72,Business travel,Business,1870,0,0,2,1,1,1,3,4,4,2,2,2,2,1,2,4,neutral or dissatisfied
338,30231,Female,Loyal Customer,48,Business travel,Eco,896,12,8,2,4,4,4,4,2,4,2,2,2,2,5,2,1,satisfied
339,14343,Male,Loyal Customer,27,Personal Travel,Eco,429,0,0,4,5,4,3,3,4,1,3,5,3,4,4,4,3,neutral or dissatisfied
340,79924,Male,Loyal Customer,25,Business travel,Business,1796,176,164,4,2,2,2,4,4,4,1,5,3,3,4,2,4,neutral or dissatisfied
341,105654,Male,disloyal Customer,26,Business travel,Eco,842,38,28,1,1,1,2,5,1,5,5,1,3,3,4,2,5,neutral or dissatisfied
342,29495,Male,disloyal Customer,16,Business travel,Business,1107,0,0,3,4,3,3,1,3,3,1,1,5,3,2,4,1,neutral or dissatisfied
343,98183,Female,disloyal Customer,36,Business travel,Business,327,0,0,2,2,2,3,5,2,5,5,5,4,5,3,4,5,neutral or dissatisfied
344,87554,Male,Loyal Customer,55,Personal Travel,Business,432,0,0,4,4,2,1,5,4,4,3,3,2,2,4,3,5,neutral or dissatisfied
345,83683,Female,disloyal Customer,23,Business travel,Eco,577,0,0,0,0,1,1,5,1,5,5,4,2,4,2,1,5,satisfied
346,74603,Male,Loyal Customer,50,Business travel,Business,1877,0,0,2,4,4,4,5,4,4,2,2,2,2,1,2,4,neutral or dissatisfied
347,83191,Female,Loyal Customer,45,Business travel,Business,1123,0,5,5,5,5,5,2,5,4,5,5,5,5,5,5,3,satisfied
348,110103,Male,Loyal Customer,57,Business travel,Business,1749,19,5,1,1,1,1,4,5,5,5,5,5,5,4,5,4,satisfied
349,57026,Female,Loyal Customer,50,Business travel,Business,2454,46,24,3,3,3,3,5,3,5,3,3,3,3,3,3,5,satisfied
350,91205,Female,Loyal Customer,42,Personal Travel,Eco,270,0,0,1,2,1,4,3,3,3,4,4,1,4,1,4,4,neutral or dissatisfied
351,55470,Female,Loyal Customer,34,Business travel,Business,1825,13,0,2,2,2,2,3,3,5,5,5,4,5,3,5,3,satisfied
352,53922,Female,disloyal Customer,17,Business travel,Eco Plus,191,39,34,1,1,1,4,4,1,2,4,4,1,4,2,3,4,neutral or dissatisfied
353,129138,Male,Loyal Customer,45,Business travel,Business,679,0,6,4,4,4,4,4,5,4,5,5,5,5,3,5,4,satisfied
354,2034,Female,Loyal Customer,59,Business travel,Business,812,0,3,2,2,2,2,4,4,5,2,2,2,2,5,2,4,satisfied
355,37286,Male,Loyal Customer,39,Business travel,Eco,1056,20,9,5,3,3,3,5,5,5,5,3,2,4,5,2,5,satisfied
356,32818,Male,Loyal Customer,28,Business travel,Business,101,0,0,2,1,1,1,2,2,2,2,2,2,3,2,4,2,neutral or dissatisfied
357,46695,Female,Loyal Customer,44,Personal Travel,Eco,73,0,32,2,3,2,3,4,3,4,1,1,2,1,2,1,1,neutral or dissatisfied
358,121598,Male,Loyal Customer,9,Personal Travel,Eco,936,22,22,5,5,4,2,4,4,4,4,5,4,5,5,5,4,satisfied
359,44039,Female,Loyal Customer,24,Business travel,Eco,287,0,8,1,1,0,3,5,0,5,5,2,2,2,2,2,5,neutral or dissatisfied
360,102733,Female,Loyal Customer,37,Personal Travel,Eco,255,0,0,3,1,3,4,3,3,3,3,1,4,4,1,3,3,neutral or dissatisfied
361,85600,Female,disloyal Customer,25,Business travel,Eco,317,9,5,0,4,0,4,5,0,5,5,5,1,2,4,3,5,satisfied
362,10833,Male,Loyal Customer,22,Business travel,Business,2027,7,2,2,2,2,2,4,4,4,4,5,3,4,4,4,4,satisfied
363,81553,Male,Loyal Customer,55,Business travel,Business,936,0,0,3,3,3,3,5,5,5,3,3,3,3,5,3,5,satisfied
364,24745,Male,Loyal Customer,53,Business travel,Eco,432,0,5,4,3,3,3,4,4,4,4,4,3,3,1,4,4,satisfied
365,58871,Female,Loyal Customer,46,Business travel,Business,888,0,0,3,3,3,3,5,4,4,4,4,4,4,3,4,4,satisfied
366,68900,Male,Loyal Customer,62,Personal Travel,Eco,1061,0,0,0,5,0,3,5,0,5,5,4,4,5,5,5,5,satisfied
367,31952,Female,Loyal Customer,53,Business travel,Business,216,0,0,5,5,4,5,5,5,4,5,5,5,5,5,5,4,satisfied
368,98758,Female,Loyal Customer,50,Business travel,Business,1814,0,0,3,3,3,3,2,5,4,5,5,5,5,5,5,4,satisfied
369,59963,Male,Loyal Customer,57,Business travel,Business,2993,0,6,5,5,5,5,2,4,2,4,4,4,4,4,4,3,satisfied
370,38236,Female,Loyal Customer,54,Business travel,Business,2632,0,0,3,3,3,3,2,5,4,3,3,4,3,3,3,5,satisfied
371,43811,Female,Loyal Customer,42,Business travel,Business,199,0,0,1,1,1,1,5,4,5,5,5,5,4,5,5,5,satisfied
372,58215,Male,Loyal Customer,17,Personal Travel,Eco,802,0,5,2,5,2,2,4,2,4,4,2,5,3,1,4,4,neutral or dissatisfied
373,88293,Female,Loyal Customer,53,Business travel,Business,581,1,0,1,1,1,1,3,4,4,4,4,4,4,3,4,3,satisfied
374,37225,Male,Loyal Customer,49,Business travel,Business,1938,22,21,2,2,2,2,3,4,5,4,4,4,4,5,4,4,satisfied
375,43935,Female,Loyal Customer,37,Business travel,Eco Plus,174,0,0,5,3,5,3,5,5,5,5,5,1,5,3,5,5,satisfied
376,48899,Male,Loyal Customer,35,Business travel,Eco,326,0,0,4,2,2,2,4,4,4,4,2,5,5,5,3,4,satisfied
377,99082,Male,Loyal Customer,30,Business travel,Business,1821,5,7,1,1,1,1,2,2,1,2,1,2,2,4,2,2,neutral or dissatisfied
378,75859,Female,Loyal Customer,16,Personal Travel,Eco,1437,0,0,1,5,0,4,5,0,5,5,3,3,4,4,4,5,neutral or dissatisfied
379,85109,Male,Loyal Customer,46,Business travel,Business,3995,0,0,4,4,4,4,3,4,4,5,5,5,5,5,5,4,satisfied
380,118135,Female,Loyal Customer,51,Business travel,Business,1488,73,62,2,3,3,3,4,3,4,2,2,2,2,4,2,2,neutral or dissatisfied
381,89169,Male,Loyal Customer,70,Personal Travel,Eco,1892,0,0,1,4,1,3,1,1,1,1,4,4,4,4,3,1,neutral or dissatisfied
382,4988,Male,disloyal Customer,26,Business travel,Business,502,53,52,2,2,2,5,5,2,2,5,4,3,4,4,4,5,neutral or dissatisfied
383,81441,Male,Loyal Customer,46,Business travel,Business,2491,0,0,3,3,3,3,4,4,5,4,4,4,4,5,4,3,satisfied
384,37707,Female,Loyal Customer,12,Personal Travel,Eco,944,20,15,2,2,2,4,1,2,1,1,1,4,4,1,4,1,neutral or dissatisfied
385,94317,Male,Loyal Customer,25,Business travel,Business,496,0,0,4,4,4,4,4,4,4,4,3,2,5,4,5,4,satisfied
386,42242,Female,Loyal Customer,63,Business travel,Business,329,0,0,2,2,2,2,5,1,5,4,4,4,4,4,4,3,satisfied
387,8085,Female,Loyal Customer,48,Business travel,Business,402,0,4,1,1,1,1,4,5,5,4,4,4,4,5,4,3,satisfied
388,42926,Female,Loyal Customer,43,Business travel,Business,3946,0,0,3,3,3,3,3,5,5,4,4,4,4,5,4,4,satisfied
389,114663,Female,Loyal Customer,35,Business travel,Business,337,54,40,5,5,5,5,2,4,5,4,4,4,4,3,4,5,satisfied
390,63597,Female,Loyal Customer,32,Business travel,Business,2133,0,0,4,4,4,4,4,4,4,4,5,2,5,3,4,4,satisfied
